role,case_id,latency_requirement,latency_share_of_performance,endurance_requirement,endurance_share_of_reliability,read_iops_share,write_iops_share,performance_priority_raw,reliability_priority_raw,cost_priority_raw,power_priority_raw,performance_weight,latency_weight,endurance_weight,reliability_weight,cost_weight,power_weight,weight_sum
mdt,REQ_000059,low,0.35,medium,0.4,0.8999998205019125,0.10000017949808745,0.143,0.38,0.379,0.098,0.09294999999999999,0.05004999999999999,0.15200000000000002,0.22799999999999998,0.379,0.098,1.0
mdt,REQ_000062,low,0.35,medium,0.4,0.5999996512760246,0.4000003487239754,0.089,0.311,0.462,0.138,0.05785,0.031149999999999997,0.12440000000000001,0.1866,0.462,0.138,1.0
mdt,REQ_000064,moderate,0.2,standard,0.25,0.8999878419452888,0.10001215805471124,0.151,0.272,0.433,0.144,0.1208,0.0302,0.068,0.20400000000000001,0.433,0.144,1.0
mdt,REQ_000074,moderate,0.2,medium,0.4,0.6,0.4,0.143,0.533,0.298,0.026,0.1144,0.0286,0.21320000000000003,0.31980000000000003,0.298,0.026,1.0
mdt,REQ_000076,very_low,0.5,high,0.55,0.7999998740549398,0.20000012594506025,0.39,0.116,0.103,0.391,0.195,0.195,0.06380000000000001,0.052199999999999996,0.103,0.391,1.0
mdt,REQ_000081,low,0.35,medium,0.4,0.6,0.4,0.124,0.176,0.244,0.456,0.0806,0.043399999999999994,0.0704,0.10559999999999999,0.244,0.456,1.0
mdt,REQ_000082,moderate,0.2,medium,0.4,0.6,0.4,0.15,0.314,0.299,0.237,0.12,0.03,0.12560000000000002,0.18839999999999998,0.299,0.237,1.0
mdt,REQ_000088,moderate,0.2,standard,0.25,0.8,0.2,0.127,0.344,0.152,0.377,0.10160000000000001,0.025400000000000002,0.086,0.258,0.152,0.377,1.0
mdt,REQ_000093,moderate,0.2,medium,0.4,0.6,0.4,0.234,0.263,0.267,0.236,0.18720000000000003,0.04680000000000001,0.10520000000000002,0.1578,0.267,0.236,1.0
mdt,REQ_000096,moderate,0.2,standard,0.25,0.9,0.1,0.623,0.104,0.201,0.072,0.4984,0.1246,0.026,0.078,0.201,0.072,1.0
mdt,REQ_000102,moderate,0.2,standard,0.25,0.799999529886303,0.200000470113697,0.408,0.173,0.265,0.154,0.3264,0.0816,0.04325,0.12974999999999998,0.265,0.154,1.0
mdt,REQ_000103,very_low,0.5,high,0.55,0.7,0.3,0.051,0.326,0.371,0.252,0.0255,0.0255,0.17930000000000001,0.1467,0.371,0.252,1.0
mdt,REQ_000107,moderate,0.2,standard,0.25,0.8,0.2,0.11,0.147,0.483,0.26,0.08800000000000001,0.022000000000000002,0.03675,0.11024999999999999,0.483,0.26,1.0
mdt,REQ_000109,moderate,0.2,standard,0.25,0.7001379310344827,0.29986206896551726,0.092,0.162,0.563,0.183,0.07360000000000001,0.018400000000000003,0.04050000000000001,0.12150000000000001,0.5630000000000001,0.18300000000000002,1.0000000000000002
mdt,REQ_000111,low,0.35,medium,0.4,0.700000249772083,0.29999975022791703,0.013,0.398,0.263,0.326,0.00845,0.004549999999999999,0.1592,0.2388,0.263,0.326,1.0
mdt,REQ_000124,moderate,0.2,standard,0.25,0.699987294326917,0.300012705673083,0.127,0.289,0.244,0.34,0.10160000000000001,0.025400000000000002,0.07225,0.21675,0.244,0.34,1.0
mdt,REQ_000137,moderate,0.2,standard,0.25,0.8,0.2,0.387,0.045,0.279,0.289,0.30960000000000004,0.07740000000000001,0.01125,0.03375,0.279,0.289,1.0
mdt,REQ_000141,moderate,0.2,medium,0.4,0.6,0.4,0.068,0.399,0.223,0.31,0.054400000000000004,0.013600000000000001,0.15960000000000002,0.2394,0.223,0.31,1.0
mdt,REQ_000142,moderate,0.2,standard,0.25,0.7000040205853972,0.29999597941460276,0.488,0.146,0.116,0.25,0.3904,0.0976,0.0365,0.10949999999999999,0.116,0.25,1.0
mdt,REQ_000144,moderate,0.2,standard,0.25,0.8,0.2,0.091,0.194,0.265,0.45,0.0728,0.0182,0.0485,0.14550000000000002,0.265,0.45,1.0
mdt,REQ_000145,moderate,0.2,standard,0.25,0.7999965130368833,0.20000348696311665,0.442,0.163,0.031,0.364,0.3536,0.0884,0.04075,0.12225,0.031,0.364,1.0
mdt,REQ_000153,moderate,0.2,standard,0.25,0.7,0.3,0.279,0.279,0.215,0.227,0.22320000000000004,0.05580000000000001,0.06975,0.20925000000000002,0.215,0.227,1.0
mdt,REQ_000162,moderate,0.2,medium,0.4,0.6,0.4,0.471,0.161,0.215,0.153,0.3768,0.0942,0.0644,0.0966,0.215,0.153,1.0
mdt,REQ_000164,moderate,0.2,standard,0.25,0.8,0.2,0.503,0.015,0.345,0.137,0.40240000000000004,0.10060000000000001,0.00375,0.01125,0.345,0.137,1.0
mdt,REQ_000174,moderate,0.2,standard,0.25,0.9000011458034947,0.0999988541965053,0.389,0.008,0.554,0.049,0.31120000000000003,0.07780000000000001,0.002,0.006,0.554,0.049,1.0
mdt,REQ_000177,moderate,0.2,standard,0.25,0.8,0.2,0.009,0.154,0.267,0.57,0.0072,0.0018,0.0385,0.11549999999999999,0.267,0.57,1.0
mdt,REQ_000180,moderate,0.2,standard,0.25,0.8,0.2,0.368,0.292,0.335,0.005,0.2944,0.0736,0.073,0.21899999999999997,0.335,0.005,1.0
mdt,REQ_000193,moderate,0.2,standard,0.25,0.9000097021441739,0.09999029785582614,0.297,0.242,0.008,0.453,0.2376,0.0594,0.0605,0.1815,0.008,0.453,1.0
mdt,REQ_000200,low,0.35,medium,0.4,0.7999997494500428,0.20000025054995715,0.479,0.12,0.253,0.148,0.31135,0.16765,0.048,0.072,0.253,0.148,1.0
mdt,REQ_000226,moderate,0.2,standard,0.25,0.8999919801106745,0.10000801988932553,0.378,0.275,0.06,0.287,0.3024,0.0756,0.06875,0.20625000000000002,0.06,0.287,1.0
mdt,REQ_000235,moderate,0.2,standard,0.25,0.8,0.2,0.311,0.075,0.309,0.305,0.24880000000000002,0.062200000000000005,0.01875,0.056249999999999994,0.309,0.305,1.0
mdt,REQ_000260,moderate,0.2,standard,0.25,0.7000044994375703,0.2999955005624297,0.048,0.03,0.412,0.51,0.038400000000000004,0.009600000000000001,0.0075,0.0225,0.412,0.51,1.0
mdt,REQ_000263,moderate,0.2,standard,0.25,0.800010848340204,0.19998915165979606,0.417,0.096,0.163,0.324,0.3336,0.0834,0.024,0.07200000000000001,0.163,0.324,1.0
mdt,REQ_000264,very_low,0.5,high,0.55,0.6000001272602211,0.39999987273977894,0.084,0.331,0.4,0.185,0.042,0.042,0.18205000000000002,0.14895,0.4,0.185,1.0
mdt,REQ_000268,low,0.35,medium,0.4,0.9,0.1,0.013,0.04,0.235,0.712,0.00845,0.004549999999999999,0.016,0.024,0.235,0.712,1.0
mdt,REQ_000272,moderate,0.2,standard,0.25,0.8,0.2,0.02,0.129,0.515,0.336,0.016,0.004,0.03225,0.09675,0.515,0.336,1.0
mdt,REQ_000273,moderate,0.2,medium,0.4,0.6,0.4,0.052,0.329,0.341,0.278,0.0416,0.0104,0.13160000000000002,0.1974,0.341,0.278,1.0
mdt,REQ_000300,moderate,0.2,standard,0.25,0.9000347826086956,0.09996521739130435,0.13,0.293,0.438,0.139,0.10400000000000001,0.026000000000000002,0.07325,0.21975,0.438,0.139,1.0
mdt,REQ_000314,low,0.35,medium,0.4,0.6,0.4,0.105,0.336,0.165,0.394,0.06825,0.03675,0.13440000000000002,0.2016,0.165,0.394,1.0
mdt,REQ_000317,moderate,0.2,standard,0.25,0.8000018662635537,0.19999813373644626,0.182,0.228,0.223,0.367,0.1456,0.0364,0.057,0.171,0.223,0.367,1.0
mdt,REQ_000321,moderate,0.2,standard,0.25,0.8999949407221276,0.1000050592778724,0.435,0.184,0.204,0.177,0.34800000000000003,0.08700000000000001,0.046,0.138,0.204,0.177,1.0
mdt,REQ_000322,moderate,0.2,standard,0.25,0.7,0.3,0.297,0.357,0.13,0.216,0.2376,0.0594,0.08925,0.26775,0.13,0.216,1.0
mdt,REQ_000323,moderate,0.2,standard,0.25,0.8,0.2,0.071,0.338,0.304,0.287,0.056799999999999996,0.014199999999999999,0.0845,0.2535,0.304,0.287,1.0
mdt,REQ_000324,low,0.35,medium,0.4,0.9,0.1,0.109,0.108,0.371,0.412,0.07085,0.038149999999999996,0.0432,0.0648,0.371,0.412,1.0
mdt,REQ_000345,moderate,0.2,standard,0.25,0.900013445076861,0.09998655492313897,0.173,0.173,0.346,0.308,0.13840000000000002,0.034600000000000006,0.043250000000000004,0.12975,0.34600000000000003,0.30800000000000005,1.0000000000000002
mdt,REQ_000358,moderate,0.2,standard,0.25,0.8,0.2,0.076,0.395,0.427,0.102,0.0608,0.0152,0.09875,0.29625,0.427,0.102,1.0
mdt,REQ_000364,low,0.35,medium,0.4,0.8,0.2,0.008,0.123,0.594,0.275,0.005200000000000001,0.0028,0.0492,0.07379999999999999,0.594,0.275,1.0
mdt,REQ_000365,low,0.35,medium,0.4,0.6999998369998408,0.3000001630001592,0.228,0.283,0.341,0.148,0.1482,0.0798,0.1132,0.16979999999999998,0.341,0.148,1.0
mdt,REQ_000379,moderate,0.2,standard,0.25,0.7999978385738911,0.20000216142610894,0.032,0.386,0.321,0.261,0.0256,0.0064,0.0965,0.2895,0.321,0.261,1.0
mdt,REQ_000392,moderate,0.2,medium,0.4,0.6,0.4,0.204,0.339,0.231,0.226,0.1632,0.0408,0.13560000000000003,0.2034,0.231,0.226,1.0
mdt,REQ_000394,low,0.35,medium,0.4,0.8,0.2,0.151,0.405,0.102,0.342,0.09815,0.052849999999999994,0.16200000000000003,0.243,0.102,0.342,1.0
mdt,REQ_000404,moderate,0.2,standard,0.25,0.9,0.1,0.238,0.017,0.368,0.377,0.1904,0.0476,0.00425,0.012750000000000001,0.368,0.377,1.0
mdt,REQ_000409,moderate,0.2,standard,0.25,0.7000010925976509,0.2999989074023491,0.248,0.258,0.266,0.228,0.19840000000000002,0.049600000000000005,0.0645,0.1935,0.266,0.228,1.0
mdt,REQ_000410,very_low,0.5,high,0.55,0.6999984514130856,0.30000154858691447,0.343,0.138,0.096,0.423,0.1715,0.1715,0.07590000000000001,0.0621,0.096,0.423,1.0
mdt,REQ_000412,moderate,0.2,standard,0.25,0.8,0.2,0.007,0.286,0.38,0.327,0.005600000000000001,0.0014000000000000002,0.0715,0.21449999999999997,0.38,0.327,1.0
mdt,REQ_000432,moderate,0.2,standard,0.25,0.7,0.3,0.313,0.092,0.313,0.282,0.2504,0.0626,0.023,0.069,0.313,0.282,1.0
mdt,REQ_000433,moderate,0.2,standard,0.25,0.89999937721478,0.10000062278522007,0.131,0.021,0.262,0.586,0.1048,0.0262,0.00525,0.01575,0.262,0.586,1.0
mdt,REQ_000441,moderate,0.2,standard,0.25,0.9,0.1,0.482,0.343,0.087,0.088,0.3856,0.0964,0.08575,0.25725000000000003,0.087,0.088,1.0
mdt,REQ_000450,low,0.35,medium,0.4,0.6999996476578053,0.30000035234219474,0.074,0.5,0.009,0.417,0.0481,0.025899999999999996,0.2,0.3,0.009,0.417,1.0
mdt,REQ_000455,moderate,0.2,medium,0.4,0.599975909419417,0.40002409058058297,0.069,0.553,0.165,0.213,0.055200000000000006,0.013800000000000002,0.22120000000000004,0.33180000000000004,0.165,0.213,1.0
mdt,REQ_000457,moderate,0.2,standard,0.25,0.8999950663574917,0.10000493364250826,0.358,0.41,0.137,0.095,0.2864,0.0716,0.1025,0.3075,0.137,0.095,1.0
mdt,REQ_000464,moderate,0.2,medium,0.4,0.6000012036373922,0.3999987963626078,0.099,0.057,0.553,0.291,0.0792,0.0198,0.0228,0.0342,0.553,0.291,1.0
mdt,REQ_000465,moderate,0.2,standard,0.25,0.8,0.2,0.402,0.052,0.481,0.065,0.32160000000000005,0.08040000000000001,0.013,0.039,0.481,0.065,1.0
mdt,REQ_000467,moderate,0.2,standard,0.25,0.8999959555106167,0.10000404448938321,0.28,0.296,0.165,0.259,0.22400000000000003,0.05600000000000001,0.074,0.22199999999999998,0.165,0.259,1.0
mdt,REQ_000468,moderate,0.2,medium,0.4,0.6,0.4,0.256,0.236,0.198,0.31,0.2048,0.0512,0.0944,0.14159999999999998,0.198,0.31,1.0
mdt,REQ_000472,very_low,0.5,high,0.55,0.9000001332466934,0.09999986675330663,0.315,0.17,0.134,0.381,0.1575,0.1575,0.09350000000000001,0.0765,0.134,0.381,1.0
mdt,REQ_000474,moderate,0.2,medium,0.4,0.6000020163729484,0.39999798362705163,0.367,0.28,0.306,0.047,0.2936,0.0734,0.11200000000000002,0.168,0.306,0.047,1.0
mdt,REQ_000481,moderate,0.2,medium,0.4,0.6000011891454801,0.39999881085451994,0.168,0.045,0.441,0.346,0.13440000000000002,0.033600000000000005,0.018,0.027,0.441,0.346,1.0
mdt,REQ_000483,moderate,0.2,medium,0.4,0.6,0.4,0.234,0.416,0.303,0.047,0.18720000000000003,0.04680000000000001,0.1664,0.2496,0.303,0.047,1.0
mdt,REQ_000484,low,0.35,medium,0.4,0.8,0.2,0.366,0.599,0.016,0.019,0.2379,0.1281,0.2396,0.3594,0.016,0.019,1.0
mdt,REQ_000486,moderate,0.2,standard,0.25,0.8,0.2,0.337,0.171,0.157,0.335,0.2696,0.0674,0.04275,0.12825,0.157,0.335,1.0
mdt,REQ_000487,low,0.35,medium,0.4,0.6,0.4,0.049,0.312,0.494,0.145,0.03185,0.01715,0.12480000000000001,0.1872,0.494,0.145,1.0
mdt,REQ_000492,moderate,0.2,standard,0.25,0.9,0.1,0.128,0.081,0.679,0.112,0.1024,0.0256,0.02025,0.06075,0.679,0.112,1.0
mdt,REQ_000493,low,0.35,medium,0.4,0.69999975821758,0.30000024178242,0.347,0.198,0.183,0.272,0.22555,0.12144999999999999,0.0792,0.1188,0.183,0.272,1.0
mdt,REQ_000497,moderate,0.2,standard,0.25,0.799974173553719,0.200025826446281,0.3,0.204,0.286,0.21,0.24,0.06,0.051,0.153,0.286,0.21,1.0
mdt,REQ_000501,low,0.35,medium,0.4,0.9000003970956425,0.09999960290435753,0.014,0.307,0.668,0.011,0.0091,0.0049,0.1228,0.1842,0.668,0.011,1.0
mdt,REQ_000503,moderate,0.2,standard,0.25,0.7000244081034903,0.29997559189650963,0.026,0.21,0.483,0.281,0.0208,0.0052,0.0525,0.1575,0.483,0.281,1.0
mdt,REQ_000505,moderate,0.2,medium,0.4,0.6,0.4,0.131,0.138,0.364,0.367,0.1048,0.0262,0.055200000000000006,0.0828,0.364,0.367,1.0
mdt,REQ_000506,moderate,0.2,standard,0.25,0.8999977490151941,0.10000225098480585,0.41,0.264,0.313,0.013,0.328,0.082,0.066,0.198,0.313,0.013,1.0
mdt,REQ_000513,moderate,0.2,standard,0.25,0.7,0.3,0.124,0.363,0.044,0.469,0.09920000000000001,0.024800000000000003,0.09075,0.27225,0.044,0.469,1.0
mdt,REQ_000521,moderate,0.2,standard,0.25,0.7000038424591739,0.29999615754082615,0.038,0.361,0.099,0.502,0.0304,0.0076,0.09025,0.27075,0.099,0.502,1.0
mdt,REQ_000530,moderate,0.2,medium,0.4,0.6,0.4,0.382,0.006,0.004,0.608,0.30560000000000004,0.07640000000000001,0.0024000000000000002,0.0036,0.004,0.608,1.0
mdt,REQ_000536,low,0.35,medium,0.4,0.8999993459820407,0.10000065401795934,0.101,0.402,0.06,0.437,0.06565,0.03535,0.16080000000000003,0.2412,0.06,0.437,1.0
mdt,REQ_000537,moderate,0.2,standard,0.25,0.900030534351145,0.09996946564885496,0.38,0.079,0.218,0.323,0.30400000000000005,0.07600000000000001,0.01975,0.05925,0.218,0.323,1.0
mdt,REQ_000549,moderate,0.2,standard,0.25,0.9000002151805581,0.099999784819442,0.318,0.295,0.068,0.319,0.2544,0.0636,0.07375,0.22125,0.068,0.319,1.0
mdt,REQ_000554,moderate,0.2,standard,0.25,0.8999987020403925,0.1000012979596075,0.188,0.444,0.34,0.028,0.1504,0.0376,0.111,0.333,0.34,0.028,1.0
mdt,REQ_000565,moderate,0.2,standard,0.25,0.8999619047619047,0.10003809523809523,0.223,0.089,0.396,0.292,0.1784,0.0446,0.02225,0.06675,0.396,0.292,1.0
mdt,REQ_000569,moderate,0.2,standard,0.25,0.9,0.1,0.116,0.458,0.089,0.337,0.09280000000000001,0.023200000000000002,0.1145,0.3435,0.089,0.337,1.0
mdt,REQ_000579,low,0.35,medium,0.4,0.9,0.1,0.562,0.025,0.125,0.288,0.36530000000000007,0.1967,0.010000000000000002,0.015,0.125,0.288,1.0
mdt,REQ_000589,low,0.35,medium,0.4,0.9000002161064108,0.0999997838935892,0.416,0.107,0.057,0.42,0.27040000000000003,0.1456,0.04280000000000001,0.06420000000000001,0.05700000000000001,0.42000000000000004,1.0
mdt,REQ_000602,moderate,0.2,medium,0.4,0.6,0.4,0.427,0.161,0.375,0.037,0.3416,0.0854,0.0644,0.0966,0.375,0.037,1.0
mdt,REQ_000610,moderate,0.2,medium,0.4,0.6000014225965232,0.39999857740347683,0.508,0.122,0.26,0.11,0.40640000000000004,0.10160000000000001,0.0488,0.0732,0.26,0.11,1.0
mdt,REQ_000616,moderate,0.2,standard,0.25,0.699994238967623,0.300005761032377,0.334,0.123,0.209,0.334,0.26720000000000005,0.06680000000000001,0.03075,0.09225,0.209,0.334,1.0
mdt,REQ_000620,moderate,0.2,standard,0.25,0.8,0.2,0.402,0.341,0.013,0.244,0.32160000000000005,0.08040000000000001,0.08525,0.25575000000000003,0.013,0.244,1.0
mdt,REQ_000622,moderate,0.2,medium,0.4,0.6000031614055609,0.3999968385944391,0.342,0.191,0.316,0.151,0.2736,0.0684,0.07640000000000001,0.1146,0.316,0.151,1.0
mdt,REQ_000636,moderate,0.2,standard,0.25,0.8,0.2,0.008,0.277,0.268,0.447,0.0064,0.0016,0.06925,0.20775000000000002,0.268,0.447,1.0
mdt,REQ_000646,moderate,0.2,medium,0.4,0.6,0.4,0.387,0.345,0.043,0.225,0.30960000000000004,0.07740000000000001,0.13799999999999998,0.207,0.043,0.225,1.0
mdt,REQ_000657,moderate,0.2,standard,0.25,0.8999960482118159,0.10000395178818415,0.393,0.439,0.131,0.037,0.3144,0.0786,0.10975,0.32925,0.131,0.037,1.0
mdt,REQ_000669,low,0.35,medium,0.4,0.6,0.4,0.533,0.098,0.2,0.169,0.34645000000000004,0.18655,0.039200000000000006,0.0588,0.2,0.169,1.0
mdt,REQ_000685,moderate,0.2,standard,0.25,0.7000615384615385,0.29993846153846154,0.318,0.283,0.239,0.16,0.2544,0.0636,0.07075,0.21225,0.239,0.16,1.0
mdt,REQ_000692,moderate,0.2,standard,0.25,0.7999943787065403,0.2000056212934596,0.3,0.139,0.23,0.331,0.24,0.06,0.03475,0.10425000000000001,0.23,0.331,1.0
mdt,REQ_000693,moderate,0.2,standard,0.25,0.899925205684368,0.10007479431563202,0.313,0.3,0.229,0.158,0.2504,0.0626,0.075,0.22499999999999998,0.229,0.158,1.0
mdt,REQ_000709,low,0.35,medium,0.4,0.8999996753510267,0.1000003246489733,0.401,0.07,0.192,0.337,0.26065000000000005,0.14035,0.028000000000000004,0.042,0.192,0.337,1.0
mdt,REQ_000710,low,0.35,medium,0.4,0.8,0.2,0.368,0.187,0.357,0.088,0.2392,0.1288,0.0748,0.1122,0.357,0.088,1.0
mdt,REQ_000716,moderate,0.2,standard,0.25,0.8999903147699758,0.10000968523002421,0.294,0.147,0.238,0.321,0.2352,0.0588,0.03675,0.11024999999999999,0.238,0.321,1.0
mdt,REQ_000726,low,0.35,medium,0.4,0.9000002157461617,0.0999997842538383,0.077,0.549,0.113,0.261,0.050050000000000004,0.026949999999999998,0.21960000000000002,0.3294,0.113,0.261,1.0
mdt,REQ_000763,moderate,0.2,standard,0.25,0.8000063967248768,0.19999360327512314,0.593,0.245,0.122,0.04,0.4744,0.1186,0.06125,0.18375,0.122,0.04,1.0
mdt,REQ_000770,very_low,0.5,high,0.55,0.7000010138440403,0.2999989861559596,0.038,0.34,0.266,0.356,0.019,0.019,0.18700000000000003,0.153,0.266,0.356,1.0
mdt,REQ_000771,moderate,0.2,medium,0.4,0.6,0.4,0.277,0.279,0.262,0.182,0.22160000000000002,0.055400000000000005,0.11160000000000002,0.16740000000000002,0.262,0.182,1.0
mdt,REQ_000774,moderate,0.2,standard,0.25,0.8,0.2,0.359,0.308,0.269,0.064,0.2872,0.0718,0.077,0.23099999999999998,0.269,0.064,1.0
mdt,REQ_000776,moderate,0.2,standard,0.25,0.6999835390946502,0.3000164609053498,0.103,0.431,0.421,0.045,0.0824,0.0206,0.10775,0.32325,0.421,0.045,1.0
mdt,REQ_000789,low,0.35,medium,0.4,0.7000003941647845,0.29999960583521545,0.215,0.152,0.372,0.261,0.13975,0.07525,0.0608,0.09119999999999999,0.372,0.261,1.0
mdt,REQ_000793,moderate,0.2,standard,0.25,0.8,0.2,0.49,0.123,0.112,0.275,0.392,0.098,0.03075,0.09225,0.112,0.275,1.0
mdt,REQ_000799,moderate,0.2,standard,0.25,0.8999988600740951,0.10000113992590481,0.738,0.13,0.113,0.019,0.5904,0.1476,0.0325,0.0975,0.113,0.019,1.0
mdt,REQ_000806,moderate,0.2,standard,0.25,0.6999975735811516,0.30000242641884844,0.393,0.39,0.176,0.041,0.3144,0.0786,0.0975,0.2925,0.176,0.041,1.0
mdt,REQ_000815,moderate,0.2,standard,0.25,0.700001020387339,0.299998979612661,0.252,0.274,0.183,0.291,0.2016,0.0504,0.0685,0.20550000000000002,0.183,0.291,1.0
mdt,REQ_000817,moderate,0.2,standard,0.25,0.9000005269046285,0.0999994730953715,0.142,0.672,0.126,0.06,0.11359999999999999,0.028399999999999998,0.168,0.504,0.126,0.06,1.0
mdt,REQ_000820,moderate,0.2,standard,0.25,0.7,0.3,0.441,0.139,0.182,0.238,0.3528,0.0882,0.03475,0.10425000000000001,0.182,0.238,1.0
mdt,REQ_000844,moderate,0.2,standard,0.25,0.7999983909118702,0.20000160908812975,0.113,0.124,0.307,0.456,0.09040000000000001,0.022600000000000002,0.031,0.093,0.307,0.456,1.0
mdt,REQ_000848,moderate,0.2,standard,0.25,0.9000010441138084,0.09999895588619159,0.029,0.441,0.36,0.17,0.023200000000000002,0.0058000000000000005,0.11025,0.33075,0.36,0.17,1.0
mdt,REQ_000851,moderate,0.2,medium,0.4,0.6,0.4,0.478,0.077,0.106,0.339,0.3824,0.0956,0.0308,0.0462,0.106,0.339,1.0
mdt,REQ_000855,moderate,0.2,standard,0.25,0.7999832551908909,0.20001674480910916,0.222,0.185,0.17,0.423,0.1776,0.0444,0.04625,0.13874999999999998,0.17,0.423,1.0
mdt,REQ_000863,moderate,0.2,standard,0.25,0.9000004865288277,0.09999951347117235,0.009,0.463,0.236,0.292,0.0072,0.0018,0.11575,0.34725,0.236,0.292,1.0
mdt,REQ_000866,moderate,0.2,medium,0.4,0.6000110417931872,0.3999889582068128,0.029,0.331,0.332,0.308,0.023200000000000002,0.0058000000000000005,0.13240000000000002,0.1986,0.332,0.308,1.0
mdt,REQ_000878,low,0.35,medium,0.4,0.6999997900513745,0.3000002099486256,0.75,0.054,0.129,0.067,0.48750000000000004,0.26249999999999996,0.0216,0.0324,0.129,0.067,1.0
mdt,REQ_000886,low,0.35,medium,0.4,0.8,0.2,0.019,0.503,0.36,0.118,0.01235,0.00665,0.20120000000000002,0.3018,0.36,0.118,1.0
mdt,REQ_000891,moderate,0.2,standard,0.25,0.7000042704018448,0.2999957295981552,0.349,0.362,0.019,0.27,0.2792,0.0698,0.0905,0.27149999999999996,0.019,0.27,1.0
mdt,REQ_000906,moderate,0.2,standard,0.25,0.8,0.2,0.199,0.487,0.157,0.157,0.1592,0.0398,0.12175,0.36524999999999996,0.157,0.157,1.0
mdt,REQ_000915,moderate,0.2,standard,0.25,0.8,0.2,0.245,0.297,0.384,0.074,0.196,0.049,0.07425,0.22275,0.384,0.074,1.0
mdt,REQ_000917,moderate,0.2,medium,0.4,0.5999942745906333,0.4000057254093668,0.283,0.454,0.106,0.157,0.2264,0.0566,0.1816,0.2724,0.106,0.157,1.0
mdt,REQ_000921,moderate,0.2,standard,0.25,0.7,0.3,0.252,0.328,0.056,0.364,0.2016,0.0504,0.082,0.246,0.056,0.364,1.0
mdt,REQ_000936,moderate,0.2,standard,0.25,0.7,0.3,0.436,0.104,0.078,0.382,0.3488,0.0872,0.026,0.078,0.078,0.382,1.0
mdt,REQ_000949,moderate,0.2,standard,0.25,0.699995518307713,0.300004481692287,0.159,0.271,0.424,0.146,0.1272,0.0318,0.06775,0.20325000000000001,0.424,0.146,1.0
mdt,REQ_000956,moderate,0.2,medium,0.4,0.6000229016374671,0.3999770983625329,0.458,0.153,0.05,0.339,0.36640000000000006,0.09160000000000001,0.061200000000000004,0.09179999999999999,0.05,0.339,1.0
mdt,REQ_000957,moderate,0.2,standard,0.25,0.8999997793682872,0.10000022063171272,0.102,0.802,0.012,0.084,0.0816,0.0204,0.2005,0.6015,0.012,0.084,1.0
mdt,REQ_000959,low,0.35,medium,0.4,0.9,0.1,0.354,0.149,0.183,0.314,0.2301,0.12389999999999998,0.0596,0.0894,0.183,0.314,1.0
